#,Zip Code,Location,City,Population,% Blacks,National Rank
1,60654,"41.888109, -87.636652","Chicago, Illinois",7,100.00%,#3
2,60621,"41.776404, -87.640058","Chicago, Illinois","47,514",98.19%,#8
3,60624,"41.880048, -87.722352","Chicago, Illinois","45,647",98.06%,#11
4,60619,"41.743383, -87.605811","Chicago, Illinois","74,963",98.06%,#12
5,60653,"41.819722, -87.611809","Chicago, Illinois","34,502",97.91%,#16
6,60636,"41.775708, -87.669011","Chicago, Illinois","51,451",97.81%,#19
7,60649,"41.763484, -87.570411","Chicago, Illinois","54,823",96.79%,#37
8,60620,"41.740481, -87.653749","Chicago, Illinois","85,771",95.54%,#55
9,60644,"41.880614, -87.756903","Chicago, Illinois","59,059",95.27%,#61
10,60628,"41.692200, -87.617859","Chicago, Illinois","87,827",94.75%,#74
11,60637,"41.780673, -87.603500","Chicago, Illinois","57,090",82.24%,#290
12,60643,"41.696894, -87.661375","Chicago, Illinois","52,568",77.06%,#384
13,60651,"41.902029, -87.740432","Chicago, Illinois","77,583",70.55%,#561
14,60615,"41.801502, -87.603332","Chicago, Illinois","45,096",67.49%,#651
15,60612,"41.880500, -87.687967","Chicago, Illinois","37,990",65.57%,#698
16,60617,"41.718172, -87.555846","Chicago, Illinois","96,288",54.56%,"#1,067"
17,60652,"41.746234, -87.711953","Chicago, Illinois","39,126",42.04%,"#1,720"
18,60609,"41.812680, -87.656935","Chicago, Illinois","79,469",38.94%,"#1,924"
19,60616,"41.844977, -87.629846","Chicago, Illinois","47,073",38.57%,"#1,946"
20,60623,"41.847079, -87.719446","Chicago, Illinois","108,144",34.84%,"#2,226"
21,60607,"41.874503, -87.651322","Chicago, Illinois","15,552",33.08%,"#2,375"
22,60605,"41.857651, -87.615592","Chicago, Illinois","12,423",31.77%,"#2,482"
23,60626,"42.009340, -87.669902","Chicago, Illinois","59,251",29.10%,"#2,745"
24,60610,"41.900034, -87.636967","Chicago, Illinois","47,513",27.10%,"#2,942"
25,60629,"41.774690, -87.714185","Chicago, Illinois","113,984",25.95%,"#3,060"
26,60661,"41.882458, -87.643946","Chicago, Illinois","4,382",21.47%,"#3,604"
27,60640,"41.972347, -87.663982","Chicago, Illinois","74,030",19.46%,"#3,877"
28,60633,"41.661941, -87.557757","Chicago, Illinois","13,262",18.63%,"#3,991"
29,60608,"41.848647, -87.672320","Chicago, Illinois","92,472",18.60%,"#3,998"
30,60639,"41.920639, -87.755793","Chicago, Illinois","92,951",17.97%,"#4,091"
31,60660,"41.990561, -87.664706","Chicago, Illinois","47,726",17.81%,"#4,126"
32,60604,"41.878266, -87.626150","Chicago, Illinois",78,14.10%,"#4,824"
33,60602,"41.883067, -87.629187","Chicago, Illinois",70,11.42%,"#5,499"
34,60601,"41.885805, -87.622911","Chicago, Illinois","5,591",11.12%,"#5,581"
35,60622,"41.901894, -87.672630","Chicago, Illinois","76,015",10.94%,"#5,633"
36,60645,"42.008406, -87.695793","Chicago, Illinois","44,197",10.82%,"#5,664"
37,60613,"41.958302, -87.660698","Chicago, Illinois","50,548",8.57%,"#6,448"
38,60638,"41.783650, -87.770407","Chicago, Illinois","55,788",7.98%,"#6,677"
39,60647,"41.921117, -87.701899","Chicago, Illinois","98,769",6.75%,"#7,206"
40,60606,"41.881988, -87.637329","Chicago, Illinois","1,682",5.70%,"#7,774"
41,60655,"41.694722, -87.703687","Chicago, Illinois","29,138",5.21%,"#8,089"
42,60659,"41.991923, -87.704608","Chicago, Illinois","39,155",5.18%,"#8,115"
43,60611,"41.893024, -87.618998","Chicago, Illinois","26,522",5.13%,"#8,165"
44,60614,"41.922667, -87.652537","Chicago, Illinois","65,474",4.12%,"#8,956"
45,60625,"41.973081, -87.699751","Chicago, Illinois","91,351",3.91%,"#9,178"
46,60657,"41.938964, -87.656811","Chicago, Illinois","66,789",3.41%,"#9,652"
47,60618,"41.946755, -87.702861","Chicago, Illinois","98,147",3.07%,"#10,003"
48,60603,"41.880614, -87.629311","Chicago, Illinois",378,2.11%,"#11,326"
49,60641,"41.946466, -87.746971","Chicago, Illinois","73,824",1.38%,"#12,892"
50,60656,"41.973544, -87.830234","Chicago, Illinois","27,129",1.12%,"#13,737"
51,60632,"41.810213, -87.711761","Chicago, Illinois","87,577",1.12%,"#13,739"
52,60631,"41.994948, -87.813225","Chicago, Illinois","28,832",1.04%,"#14,043"
53,60634,"41.946189, -87.806117","Chicago, Illinois","74,164",0.70%,"#15,754"
54,60630,"41.972071, -87.756569","Chicago, Illinois","54,781",0.53%,"#17,090"
55,60646,"41.992931, -87.760278","Chicago, Illinois","27,016",0.36%,"#19,116"
