#,Zip Code,Location,City,Population,% Mexicans,National Rank
1,60632,"41.810213, -87.711761","Chicago, Illinois","87,577",63.57%,#201
2,60623,"41.847079, -87.719446","Chicago, Illinois","108,144",58.20%,#267
3,60608,"41.848647, -87.672320","Chicago, Illinois","92,472",55.74%,#300
4,60629,"41.774690, -87.714185","Chicago, Illinois","113,984",42.37%,#544
5,60609,"41.812680, -87.656935","Chicago, Illinois","79,469",38.84%,#646
6,60639,"41.920639, -87.755793","Chicago, Illinois","92,951",37.80%,#680
7,60647,"41.921117, -87.701899","Chicago, Illinois","98,769",33.42%,#833
8,60617,"41.718172, -87.555846","Chicago, Illinois","96,288",29.95%,#994
9,60618,"41.946755, -87.702861","Chicago, Illinois","98,147",28.64%,"#1,063"
10,60602,"41.883067, -87.629187","Chicago, Illinois",70,28.57%,"#1,068"
11,60622,"41.901894, -87.672630","Chicago, Illinois","76,015",23.81%,"#1,341"
12,60625,"41.973081, -87.699751","Chicago, Illinois","91,351",22.25%,"#1,445"
13,60604,"41.878266, -87.626150","Chicago, Illinois",78,21.79%,"#1,485"
14,60626,"42.009340, -87.669902","Chicago, Illinois","59,251",21.21%,"#1,538"
15,60641,"41.946466, -87.746971","Chicago, Illinois","73,824",20.06%,"#1,631"
16,60633,"41.661941, -87.557757","Chicago, Illinois","13,262",19.21%,"#1,718"
17,60652,"41.746234, -87.711953","Chicago, Illinois","39,126",13.87%,"#2,334"
18,60651,"41.902029, -87.740432","Chicago, Illinois","77,583",13.47%,"#2,399"
19,60660,"41.990561, -87.664706","Chicago, Illinois","47,726",12.98%,"#2,478"
20,60638,"41.783650, -87.770407","Chicago, Illinois","55,788",12.60%,"#2,558"
21,60640,"41.972347, -87.663982","Chicago, Illinois","74,030",12.59%,"#2,562"
22,60645,"42.008406, -87.695793","Chicago, Illinois","44,197",10.54%,"#2,949"
23,60612,"41.880500, -87.687967","Chicago, Illinois","37,990",9.85%,"#3,117"
24,60634,"41.946189, -87.806117","Chicago, Illinois","74,164",9.26%,"#3,246"
25,60659,"41.991923, -87.704608","Chicago, Illinois","39,155",8.39%,"#3,507"
26,60630,"41.972071, -87.756569","Chicago, Illinois","54,781",7.87%,"#3,682"
27,60616,"41.844977, -87.629846","Chicago, Illinois","47,073",7.42%,"#3,866"
28,60613,"41.958302, -87.660698","Chicago, Illinois","50,548",7.29%,"#3,922"
29,60606,"41.881988, -87.637329","Chicago, Illinois","1,682",5.94%,"#4,530"
30,60607,"41.874503, -87.651322","Chicago, Illinois","15,552",5.79%,"#4,604"
31,60657,"41.938964, -87.656811","Chicago, Illinois","66,789",4.33%,"#5,568"
32,60603,"41.880614, -87.629311","Chicago, Illinois",378,4.23%,"#5,660"
33,60656,"41.973544, -87.830234","Chicago, Illinois","27,129",3.01%,"#6,936"
34,60605,"41.857651, -87.615592","Chicago, Illinois","12,423",2.95%,"#7,012"
35,60601,"41.885805, -87.622911","Chicago, Illinois","5,591",2.89%,"#7,101"
36,60614,"41.922667, -87.652537","Chicago, Illinois","65,474",2.87%,"#7,121"
37,60655,"41.694722, -87.703687","Chicago, Illinois","29,138",2.87%,"#7,122"
38,60661,"41.882458, -87.643946","Chicago, Illinois","4,382",2.78%,"#7,276"
39,60646,"41.992931, -87.760278","Chicago, Illinois","27,016",2.74%,"#7,334"
40,60631,"41.994948, -87.813225","Chicago, Illinois","28,832",2.66%,"#7,434"
41,60628,"41.692200, -87.617859","Chicago, Illinois","87,827",2.54%,"#7,632"
42,60610,"41.900034, -87.636967","Chicago, Illinois","47,513",1.85%,"#9,141"
43,60644,"41.880614, -87.756903","Chicago, Illinois","59,059",1.46%,"#10,439"
44,60615,"41.801502, -87.603332","Chicago, Illinois","45,096",1.42%,"#10,615"
45,60611,"41.893024, -87.618998","Chicago, Illinois","26,522",1.40%,"#10,714"
46,60643,"41.696894, -87.661375","Chicago, Illinois","52,568",1.15%,"#11,870"
47,60636,"41.775708, -87.669011","Chicago, Illinois","51,451",0.72%,"#15,088"
48,60649,"41.763484, -87.570411","Chicago, Illinois","54,823",0.57%,"#16,783"
49,60637,"41.780673, -87.603500","Chicago, Illinois","57,090",0.55%,"#17,042"
50,60621,"41.776404, -87.640058","Chicago, Illinois","47,514",0.45%,"#18,588"
51,60620,"41.740481, -87.653749","Chicago, Illinois","85,771",0.44%,"#18,729"
52,60624,"41.880048, -87.722352","Chicago, Illinois","45,647",0.43%,"#18,910"
53,60653,"41.819722, -87.611809","Chicago, Illinois","34,502",0.43%,"#18,912"
54,60619,"41.743383, -87.605811","Chicago, Illinois","74,963",0.30%,"#21,423"
55,60654,"41.888109, -87.636652","Chicago, Illinois",7,0.00%,"#28,582"
