PERMIT NUMBER,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,PAYMENT DATE,ADDRESS,ADDRESS NUMBER START,ADDRESS NUMBER,STREET DIRECTION,STREET,STREET TYPE,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE,LOCATION
1132616,384063,1,"RUNA JAPANESE, INC.",RUNA JAPANESE,04/20/2018,12/01/2018,04/20/2018,2257 W NORTH AVE,2257,2257,W,NORTH,AVE,CHICAGO,IL,60647,1,12,1-12,14,41.910249567,-87.684634487,"(41.91024956670776, -87.68463448701652)"
1134549,426226,1,Sputnik Coffee Company,Sputnik Coffee Company,07/09/2018,12/01/2018,07/09/2018,2057 W 51ST ST,2057,2057,W,51ST,ST,CHICAGO,,60609,16,7,16-7,9,41.801095035,-87.676795028,"(41.80109503476683, -87.67679502787809)"
1134529,10247,1,"WISHBONE LINCOLN, INC.",WISHBONE RESTAURANT,07/09/2018,12/01/2018,07/07/2018,3300 N LINCOLN AVE,3300,3300,N,LINCOLN,AVE,CHICAGO,IL,,47,38,47-38,19,41.94154269,-87.670124433,"(41.94154268970196, -87.6701244330947)"
1133768,21550,4,"PANE E' POMODORO, LTD.",SAPORI,07/09/2018,12/01/2018,07/09/2018,2701 N HALSTED ST,2701,2701,N,HALSTED,ST,CHICAGO,IL,60614,43,6,43-6,19,41.931578497,-87.648824939,"(41.93157849671675, -87.64882493936558)"
1133476,370574,1,MAY AND GRAND LLC,TWO,07/09/2018,12/01/2018,07/09/2018,1132-1138 W GRAND AVE,1132,1132-1138,W,GRAND,AVE,CHICAGO,IL,60642,27,53,27-53,12,41.891206571,-87.655872188,"(41.89120657079326, -87.65587218834783)"
1133160,243854,1,"JOIE DE VINE, INC.",JOIE DE VINE,07/09/2018,12/01/2018,05/04/2018,1744 W BALMORAL AVE,1744,1744,W,BALMORAL,AVE,CHICAGO,IL,60640,40,41,40-41,20,41.979865942,-87.673909329,"(41.97986594183583, -87.67390932866451)"
1134539,417208,1,"MAPLETREE RESTAURANT GROUP, LLC",TIKKAWALA,07/06/2018,12/01/2018,07/05/2018,1258 W JACKSON BLVD,1258,1258,W,JACKSON,BLVD,CHICAGO,,60607,28,8,28-8,12,41.8778613,-87.659332072,"(41.87786130020028, -87.65933207232133)"
1134079,404264,1,COFFEE JOINT INC.,COFFEE JOINT,07/06/2018,12/01/2018,07/06/2018,2059 W IRVING PARK RD,2059,2059,W,IRVING PARK,RD,CHICAGO,,60618,47,35,47-35,19,41.954011965,-87.681119283,"(41.95401196536202, -87.68111928325516)"
1132571,307604,1,"ROSENBERRY DESSERTS, LLC",SWIRLZ CUPCAKES,07/06/2018,12/01/2018,07/03/2018,705 W BELDEN AVE,705,705,W,BELDEN,AVE,CHICAGO,IL,60614,43,21,43-21,18,41.923556201,-87.646501419,"(41.92355620096032, -87.64650141883769)"
1131986,3752,1,KEYSTERS INC,PADDY MAC'S,07/06/2018,12/01/2018,03/27/2018,4157 N PULASKI RD,4157,4157,N,PULASKI,RD,CHICAGO,IL,60641,39,27,39-27,17,41.957154975,-87.727572016,"(41.957154975326574, -87.72757201572533)"
1133587,418669,1,"Steingold's of Chicago, LLC",Steingold's of Chicago LLC,07/03/2018,12/01/2018,07/02/2018,1840 W IRVING PARK RD,1840,1840,W,IRVING PARK,RD,CHICAGO,,60613,47,25,47-25,19,41.954304982,-87.67578578,"(41.9543049818164, -87.67578577985408)"
1133251,285589,1,"YASA, INC.",DUNKIN DOUNUTS / BASKIN ROBINS,07/03/2018,12/01/2018,06/29/2018,75 E WASHINGTON ST,75,75,E,WASHINGTON,ST,CHICAGO,IL,60602,42,9,42-9,1,41.883115221,-87.625172509,"(41.883115221384855, -87.62517250873418)"
1133250,333256,1,NOORIA ENTERPRISES INC.,DUNKIN DONUTS,07/03/2018,12/01/2018,06/29/2018,211 W ADAMS ST,211,211,W,ADAMS,ST,CHICAGO,IL,,42,49,42-49,1,41.879272839,-87.634103198,"(41.879272838776735, -87.63410319837826)"
