,School,Type,Zip,Lat,Long
0,ACE TECH,High School,60609,41.79612151,-87.62584904
167,AIR FORCE,High School,60609,41.82814532,-87.63275698
169,ALCOTT,High School,60618,41.93579456,-87.68056201
86,AMUNDSEN,High School,60625,41.97506726,-87.67948421
70,ASPIRA - BUSINESS & FINANCE,High School,60618,41.93572647,-87.71820414
1,ASPIRA - EARLY COLLEGE,High School,60618,41.93729829,-87.72709566
168,AUSTIN CCA,High School,60644,41.88599329,-87.76191637
177,BACK OF THE YARDS,High School,60609,41.80841254,-87.67754137
87,BOGAN,High School,60652,41.74937561,-87.72109745
149,BOWEN,High School,60617,41.73462672,-87.55755003
154,BRONZEVILLE,High School,60615,41.80520417,-87.62500447
107,BROOKS,High School,60628,41.69276253,-87.61635261
186,CAMELOT SAFE,High School,60649,41.753115,-87.551804
137,CARVER MILITARY,High School,60627,41.65628995,-87.59062039
34,CATALYST - MARIA,High School,60629,41.77099172,-87.69307532
2,CHIARTS,High School,60622,41.89937657,-87.69494501
151,CHICAGO ACADEMY,High School,60634,41.94305449,-87.77684657
131,CHICAGO AGRICULTURE,High School,60655,41.69122074,-87.71776967
65,CHICAGO COLLEGIATE,High School,60628,41.67931844,-87.61796787
59,CHICAGO EXCEL,High School,60643,41.69196931,-87.65372654
6,CHICAGO MATH & SCIENCE,High School,60626,42.01303149,-87.67481842
132,CHICAGO MILITARY,High School,60653,41.83055498,-87.61921554
25,CHICAGO TECH,High School,60608,41.86330141,-87.6590948
7,CHICAGO VIRTUAL,High School,60607,41.88055011,-87.64977248
75,CHICAGO VOCATIONAL,High School,60617,41.73717393,-87.57326752
33,CICS - CHICAGOQUEST,High School,60610,41.9077968,-87.6455615
3,CICS - RALPH ELLISON,High School,60620,41.74838241,-87.66897964
4,CICS - LONGWOOD,High School,60643,41.72122143,-87.65576813
5,CICS - NORTHTOWN,High School,60659,41.99024501,-87.72650426
146,CLARK MAGNET,High School,60644,41.87288501,-87.75332487
136,CLEMENTE COMMUNITY,High School,60622,41.90262579,-87.68690615
165,COLLINS,High School,60623,41.86414857,-87.70204159
138,CORLISS,High School,60628,41.70665962,-87.60121588
176,CRANE MEDICAL,High School,60612,41.87694744,-87.68330135
134,CURIE,High School,60632,41.80306021,-87.72204165
164,DEVRY,High School,60618,41.94138764,-87.69076139
178,DISNEY II,High School,60618,41.95248767,-87.72136351
147,DOUGLASS,High School,60644,41.89036863,-87.76766846
76,DUNBAR,High School,60616,41.84022557,-87.61763743
189,DYETT ARTS,High School,60615,41.80120417,-87.61223911
26,EPIC,High School,60617,41.74484911,-87.55022237
179,EXCEL ENGLEWOOD,High School,60621,41.76389597,-87.64912435
72,EXCEL SOUTH SHORE,High School,60649,41.759693,-87.556049
73,EXCEL SOUTHWEST,High School,60629,41.76592892,-87.69073009
88,FARRAGUT,High School,60623,41.84855987,-87.70870563
89,FENGER,High School,60628,41.68995073,-87.63757205
91,FOREMAN,High School,60641,41.93979677,-87.75416654
69,FOUNDATIONS,High School,60643,41.69467074,-87.65353525
92,GAGE PARK,High School,60629,41.79101284,-87.68895394
175,GOODE,High School,60652,41.7537498,-87.70734535
