#,Zip Code,Location,City,Population,% White,National Rank,,,,,,
1,60631,"41.994948, -87.813225","Chicago, Illinois","28,832",94.44%,"#15,759",,,,,,
2,60655,"41.694722, -87.703687","Chicago, Illinois","29,138",92.11%,"#18,117",,,,,,
3,60646,"41.992931, -87.760278","Chicago, Illinois","27,016",89.63%,"#19,851",,,,,,
4,60656,"41.973544, -87.830234","Chicago, Illinois","27,129",89.45%,"#19,965",,,,,,
5,60614,"41.922667, -87.652537","Chicago, Illinois","65,474",88.10%,"#20,759",,,,,,
6,60657,"41.938964, -87.656811","Chicago, Illinois","66,789",86.22%,"#21,711",,,,,,
7,60634,"41.946189, -87.806117","Chicago, Illinois","74,164",83.71%,"#22,781",,,,,,
8,60638,"41.783650, -87.770407","Chicago, Illinois","55,788",82.69%,"#23,226",,,,,,
9,60611,"41.893024, -87.618998","Chicago, Illinois","26,522",82.64%,"#23,246",,,,,,
10,60630,"41.972071, -87.756569","Chicago, Illinois","54,781",81.51%,"#23,644",,,,,,
11,60613,"41.958302, -87.660698","Chicago, Illinois","50,548",77.02%,"#25,000",,,,,,
12,60601,"41.885805, -87.622911","Chicago, Illinois","5,591",74.76%,"#25,588",,,,,,
13,60603,"41.880614, -87.629311","Chicago, Illinois",378,72.75%,"#26,048",,,,,,
14,60606,"41.881988, -87.637329","Chicago, Illinois","1,682",72.71%,"#26,065",,,,,,
15,60602,"41.883067, -87.629187","Chicago, Illinois",70,71.42%,"#26,343",,,,,,
16,60641,"41.946466, -87.746971","Chicago, Illinois","73,824",71.16%,"#26,402",,,,,,
17,60633,"41.661941, -87.557757","Chicago, Illinois","13,262",66.13%,"#27,356",,,,,,
18,60610,"41.900034, -87.636967","Chicago, Illinois","47,513",65.59%,"#27,462",,,,,,
19,60645,"42.008406, -87.695793","Chicago, Illinois","44,197",60.73%,"#28,203",,,,,,
20,60618,"41.946755, -87.702861","Chicago, Illinois","98,147",59.33%,"#28,385",,,,,,
21,60622,"41.901894, -87.672630","Chicago, Illinois","76,015",58.96%,"#28,440",,,,,,
22,60661,"41.882458, -87.643946","Chicago, Illinois","4,382",58.10%,"#28,556",,,,,,
23,60605,"41.857651, -87.615592","Chicago, Illinois","12,423",55.61%,"#28,843",,,,,,
24,60625,"41.973081, -87.699751","Chicago, Illinois","91,351",55.51%,"#28,850",,,,,,
25,60632,"41.810213, -87.711761","Chicago, Illinois","87,577",54.67%,"#28,924",,,,,,
26,60660,"41.990561, -87.664706","Chicago, Illinois","47,726",54.51%,"#28,938",,,,,,
27,60659,"41.991923, -87.704608","Chicago, Illinois","39,155",53.57%,"#29,025",,,,,,
28,60640,"41.972347, -87.663982","Chicago, Illinois","74,030",52.43%,"#29,155",,,,,,
29,60607,"41.874503, -87.651322","Chicago, Illinois","15,552",47.62%,"#29,613",,,,,,
30,60626,"42.009340, -87.669902","Chicago, Illinois","59,251",46.52%,"#29,701",,,,,,
31,60647,"41.921117, -87.701899","Chicago, Illinois","98,769",45.41%,"#29,787",,,,,,
32,60604,"41.878266, -87.626150","Chicago, Illinois",78,44.87%,"#29,840",,,,,,
33,60652,"41.746234, -87.711953","Chicago, Illinois","39,126",44.23%,"#29,891",,,,,,
34,60629,"41.774690, -87.714185","Chicago, Illinois","113,984",43.17%,"#29,980",,,,,,
35,60639,"41.920639, -87.755793","Chicago, Illinois","92,951",42.01%,"#30,067",,,,,,
36,60608,"41.848647, -87.672320","Chicago, Illinois","92,472",35.68%,"#30,454",,,,,,
37,60609,"41.812680, -87.656935","Chicago, Illinois","79,469",34.75%,"#30,509",,,,,,
38,60616,"41.844977, -87.629846","Chicago, Illinois","47,073",25.85%,"#30,939",,,,,,
39,60617,"41.718172, -87.555846","Chicago, Illinois","96,288",23.61%,"#31,039",,,,,,
40,60615,"41.801502, -87.603332","Chicago, Illinois","45,096",23.07%,"#31,068",,,,,,
41,60623,"41.847079, -87.719446","Chicago, Illinois","108,144",21.20%,"#31,140",,,,,,
42,60643,"41.696894, -87.661375","Chicago, Illinois","52,568",20.51%,"#31,174",,,,,,
43,60612,"41.880500, -87.687967","Chicago, Illinois","37,990",18.88%,"#31,224",,,,,,
44,60637,"41.780673, -87.603500","Chicago, Illinois","57,090",12.62%,"#31,444",,,,,,
45,60651,"41.902029, -87.740432","Chicago, Illinois","77,583",10.95%,"#31,503",,,,,,
46,60620,"41.740481, -87.653749","Chicago, Illinois","85,771",3.29%,"#31,813",,,,,,
47,60628,"41.692200, -87.617859","Chicago, Illinois","87,827",2.60%,"#31,848",,,,,,
48,60644,"41.880614, -87.756903","Chicago, Illinois","59,059",2.52%,"#31,854",,,,,,
49,60649,"41.763484, -87.570411","Chicago, Illinois","54,823",1.39%,"#31,919",,,,,,
50,60653,"41.819722, -87.611809","Chicago, Illinois","34,502",0.84%,"#31,948",,,,,,
51,60636,"41.775708, -87.669011","Chicago, Illinois","51,451",0.82%,"#31,949",,,,,,
52,60624,"41.880048, -87.722352","Chicago, Illinois","45,647",0.79%,"#31,951",,,,,,
53,60621,"41.776404, -87.640058","Chicago, Illinois","47,514",0.60%,"#31,962",,,,,,
54,60619,"41.743383, -87.605811","Chicago, Illinois","74,963",0.57%,"#31,963",,,,,,
55,60654,"41.888109, -87.636652","Chicago, Illinois",7,0.00%,"#31,976",,,,,,
